"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2021","14,440.0","14,530.0","14,639.0","14,424.5","","-0.55%"
"03/01/2021","14,520.0","14,250.0","14,582.0","14,232.5","","1.97%"
"02/01/2021","14,240.0","14,035.0","14,275.0","13,866.0","","1.57%"
"01/01/2021","14,020.0","13,910.0","14,217.5","13,862.5","","-0.14%"
"12/01/2020","14,040.0","14,117.5","14,274.0","14,050.0","","-0.35%"
"11/01/2020","14,090.0","14,650.0","14,717.5","13,992.5","","-3.63%"
"10/01/2020","14,620.0","14,810.0","14,907.0","14,602.5","","-1.48%"
"09/01/2020","14,840.0","14,535.0","14,974.0","14,535.0","","1.92%"
"08/01/2020","14,560.0","14,605.0","14,881.0","14,465.0","","0.21%"
"07/01/2020","14,530.0","14,245.0","14,860.0","14,245.0","","2.47%"
"06/01/2020","14,180.0","14,630.0","14,630.0","13,850.0","","-2.71%"
"05/01/2020","14,575.0","14,960.0","15,152.5","14,607.5","","-1.69%"
"04/01/2020","14,825.0","16,325.0","16,575.0","14,857.5","","-9.05%"
"03/01/2020","16,300.0","14,355.0","16,640.0","14,095.0","","13.67%"
"02/01/2020","14,340.0","13,665.0","14,347.5","13,600.0","","5.05%"
"01/01/2020","13,650.0","13,872.5","13,970.0","13,570.0","","-1.66%"
"12/01/2019","13,880.0","14,105.0","14,133.5","13,862.5","","-1.56%"
"11/01/2019","14,100.0","14,050.0","14,117.5","13,967.5","","0.48%"
"10/01/2019","14,032.0","14,177.5","14,217.5","13,985.0","","-1.11%"
"09/01/2019","14,190.0","14,185.5","14,234.5","13,917.5","","0.07%"
"08/01/2019","14,180.0","14,060.0","14,360.0","14,060.0","","1.20%"
"07/01/2019","14,012.0","14,082.5","14,170.0","13,887.5","","-0.80%"
"06/01/2019","14,125.0","14,205.0","14,355.0","14,080.0","","-1.02%"
"05/01/2019","14,270.0","14,205.0","14,527.5","14,205.0","","0.18%"
"04/01/2019","14,245.0","14,225.0","14,265.0","13,995.0","","0.07%"
"03/01/2019","14,235.0","14,098.5","14,340.0","14,084.5","","1.24%"
"02/01/2019","14,060.0","13,945.0","14,157.5","13,887.5","","0.64%"
"01/01/2019","13,970.0","14,445.0","14,492.5","13,960.0","","-2.82%"
"12/01/2018","14,375.0","14,265.0","14,655.0","14,210.0","","0.52%"
"11/01/2018","14,300.0","15,202.5","15,211.5","14,260.0","","-5.92%"
"10/01/2018","15,200.0","14,895.0","15,272.5","14,890.0","","2.01%"
"09/01/2018","14,900.0","14,740.0","14,950.0","14,740.0","","1.19%"
"08/01/2018","14,725.0","14,435.0","14,735.0","14,393.0","","2.15%"
"07/01/2018","14,415.0","14,255.0","14,565.0","14,255.0","","0.63%"
"06/01/2018","14,325.0","13,870.0","14,415.0","13,835.0","","3.13%"
"05/01/2018","13,890.0","13,917.5","14,212.5","13,873.5","","-0.14%"
"04/01/2018","13,910.0","13,745.0","13,940.0","13,740.0","","1.09%"
"03/01/2018","13,760.0","13,790.0","13,805.0","13,700.0","","0.15%"
"02/01/2018","13,740.0","13,390.0","13,755.0","13,390.0","","2.64%"
"01/01/2018","13,387.0","13,540.0","13,555.0","13,267.5","","-1.31%"
"12/01/2017","13,565.0","13,535.0","13,595.0","13,511.5","","0.30%"
"11/01/2017","13,524.0","13,585.0","13,596.5","13,470.0","","-0.27%"
"10/01/2017","13,560.0","13,480.0","13,645.0","13,457.5","","0.67%"
"09/01/2017","13,470.0","13,342.5","13,555.0","13,140.0","","0.96%"
"08/01/2017","13,342.0","13,317.5","13,382.5","13,301.0","","0.14%"
"07/01/2017","13,324.0","13,315.0","13,412.5","13,297.5","","-0.01%"
"06/01/2017","13,325.0","13,312.5","13,327.5","13,274.0","","0.03%"
"05/01/2017","13,321.0","13,330.0","13,420.0","13,287.0","","-0.05%"
"04/01/2017","13,327.0","13,322.5","13,347.5","13,250.5","","0.03%"
"03/01/2017","13,323.0","13,362.5","13,397.5","13,297.5","","-0.06%"
"02/01/2017","13,331.0","13,350.0","13,387.5","13,290.0","","-0.12%"
"01/01/2017","13,347.0","13,485.0","13,497.5","13,270.0","","-0.91%"
"12/01/2016","13,470.0","13,585.0","13,592.5","13,275.0","","-0.59%"
"11/01/2016","13,550.0","13,032.5","13,587.5","13,030.0","","3.86%"
"10/01/2016","13,047.0","13,035.0","13,080.0","12,955.0","","0.00%"
"09/01/2016","13,047.0","13,275.0","13,284.0","12,920.0","","-1.64%"
"08/01/2016","13,265.0","13,090.0","13,308.0","13,065.0","","1.28%"
"07/01/2016","13,097.0","13,180.0","13,192.5","13,071.5","","-0.86%"
"06/01/2016","13,210.0","13,662.5","13,800.0","13,140.0","","-3.26%"
"05/01/2016","13,655.0","13,210.0","13,695.0","13,140.0","","3.60%"
"04/01/2016","13,180.0","13,200.0","13,252.5","13,085.0","","-0.57%"
"03/01/2016","13,255.0","13,350.0","13,440.0","12,975.0","","-0.84%"
"02/01/2016","13,367.0","13,760.0","13,825.0","13,297.5","","-2.93%"
"01/01/2016","13,770.0","13,825.0","13,987.5","13,755.0","","-0.11%"
"12/01/2015","13,785.0","13,837.5","14,095.0","13,555.0","","-0.33%"
"11/01/2015","13,830.0","13,675.0","13,847.5","13,430.0","","1.13%"
"10/01/2015","13,675.0","14,640.0","14,710.0","13,225.0","","-6.62%"
"09/01/2015","14,645.0","14,070.0","14,740.0","14,052.5","","4.27%"
"08/01/2015","14,045.0","13,507.5","14,140.0","13,474.5","","3.84%"
"07/01/2015","13,525.0","13,350.0","13,530.0","13,280.0","","1.46%"
"06/01/2015","13,330.0","13,210.0","13,388.5","13,192.0","","0.81%"
"05/01/2015","13,223.0","12,985.0","13,243.0","12,976.0","","2.03%"
"04/01/2015","12,960.0","13,070.0","13,077.5","12,805.0","","-0.84%"
"03/01/2015","13,070.0","12,975.0","13,248.0","12,900.0","","1.16%"
"02/01/2015","12,920.0","12,710.0","12,945.0","12,587.5","","2.01%"
"01/01/2015","12,665.0","12,425.0","12,757.5","12,410.0","","2.30%"
